text,label
"watching episode 7 bridge, here predicted death ranking finale hear out, line saw 1. kali whole arc season emotionally heavy tied eleven choices. shes basically pitching suicidestyle plan el collapse bridge forever, story feel like heading tragic end. 2. eleven shes core, but episode 7 end maybe agreeing kali plan. hesitation feel like setup huge risk might stay behind. 3. he emotionally connected group moral center he accepted publicly, but vecnas targeting personally before, connection bridge make real target. 4. steve front group plan, right danger zone. death would hit hard emotionally, especially bond dustinhes mentoring protecting season, dustin would feel loss deeply. 5. hopper protective figure eleven emotional anchor group survival uncertain, especially story put sacrificial role save eleven. 6. holly pulled around upside down, nearly captured multiple times, trapped vecnas lair, situation extremely precarious. one wrong move could gone instant. 7. dustin usually clever resourceful, but episode 7 put constant danger. monster move steve possibly sacrificing himself, dustin could face lifeordeath situation test limits. let see actually make it! like comment finale prediction rightor roast theyre wrong.p.s. think character top 5 wouldnt make it.",-1
"well, season worst.the writing boring, pure torture watch!",-1
video good,1
noah acting peak,1
holly falling nobody guessed omg,-1
"dont like series anymore shut hell go worthless, collapsing, fragile little life leave goddamn awesome series alone, cause least theyre successful unlike freak thats insecure stuck mindset old shitty times.",-1
who volume 2,0
"shithead need lick ass shut hell up, specifically part came gay. bunch asshole saying waste time, fact, lot people thats part lgbtq much successful sucker much better life have. defending theyre not homophobic but feel coming part waste, well guess big deal vecna know showed didnt come alone biggest secret, he gay wasnt able fully accept he scared people might think guess another he right world doesnt need lecture god made male female shouldnt gay anything well people invent technology god time wasnt? but hey, people benefited accepted it, people life became easier didnt? well letting someone accept themselves.maybe people thats jealous free without hiding pretending anything someone yet everyone love still love him, something nasty shithead might not thats found disturbing, bunch satan little dolls.",-1
bro loved dustin volume 2 but even trailer couldnt dress zero action episode 57,0
"dont know why, but theory guessing vecna snape harry potter, protecting whole time. guess, eight, would villain create memory nested memories, henry trapped eight mind.. kind thingand came hive mind vol2 el, but henry didnt try stop el, like why? want there?",0
volume 2 pretty good though bit disappointed it.,1
f show. stopped watching soon came fag! tired bs. ruined show. not mention acting straight trash,-1
"action missing, expecting volume 2. not good stranger thing",-1
who watching volume 2??,0
vol2 horrible wtf wrote,-1
love series but vol 2 total disappointment,-1
sound track,0
finished vol 2 who,0
who volume 2???,0
"far theyduffers literally betrayed every character. hopper still stuck anxiety losing eleven. murray cliche nothing new add story. eleven still acting like child cant think herself. mike still follower refuse listen literally didnt hear found holly busy screaming, nobody care jonathan nancy, could shown happy end would achieved same, neither one changed grew experience. dustin steve real organic character growth gotten season 5. mean god sakes, nancy killed people act didnt feel guilt shame it. blah blah blah, gay but wasted 10 damn minute screen time something pointless. everybody sitting around cry would not real reaction. nobody care like men. world collapsing think genitals find attractive. wokeness real mind flayer here. netflix executive trying destroy another series pointless garbage instead write meaningful interesting story.and shit company buying harry potter. god help u all!!!",-1
who finishing volume 2?,0
steve die ok but steve die dieeee,-1
nancy looked badass last scene. damn,1
"guy nothing yet happened steve,duffer brother please keep way",0
"phenomenal ending volume 1, volume 2 bit letdown overall. hopefully land plane finale..",1
well.. wait last episode january 1 disappoint not,0
hospital disappointing...no deaths? thats crazy.but still good volume,-1
bro woke shit still show !!!,-1
nancy jonathan surviving spoiler trailer,0
"goddamn, literally stupid waste time come closet everyone knew guy obvious. literally waste time, made no damn sense put there. wow!!! dense!!!!",-1
"favourite web series stranger thing excited part 5,6,7 video",1
"worst 3 hour ever! hell thought idea third world called abyss nothing anything leading point? clearly came last minute vecnas original plan reshape hawkins never dragged abyss previous episodes. vecna upside library anyway? monologue character tiresome. im trying really hard picture ending satisfying given one episode left, but cant see it. even plot hole before!",-1
already trying figure thing,0
"first episode series much better every way whole 5 season acting, visuals, cgieffects, background music.. every single thing one episode thrilling this. cost fraction cost",1
vol 2 dissapointing,-1
volume two let hope finale make,1
"im screaming get rid kali! cause vecna dead, kali going show true self! also, im glad hop see it! hope plan! im sure does! but see starting ending will. he going die. going sad! but got hug came seen real friend going hard see go smh cried nancy jon broke but wasnt breaking happened",0
vol 2 badddd,-1
yo unrelease t righr,0
not single scene episode 8 btw ducisjsixisjsjsjzj,0
"finished watching vol 2 hour ago still cant get shocking was. crazy, jaw dropped",-1
come back watching vol2 crazy masterpiece love show sad one episode ep6 one best episode ever watched many question many cool moment watch vol2 crazy,1
finished volume 2 feel rather disappointed.,-1
"glad didnt watch trailer released, reveals lot",0
dont check comment u dont want spoilersso turn everything true dosent like girls..,0
wait finale trailer,0
who finishing volume 2?!,0
really disappointed editing.,-1
who watching volume 2?,0
"saw 3 episode drama hype part 2 nothing, no one die, add gay message minor emotiion!!!!!!!",-1
whole moment could cut 30 seconds. didnt need 15 minute crap there limited time left finish hell lot important stuff.,-1
who watching volume 2,0
someone waching vol.2? cant wait finale!,1
keep dragging it......... .....,-1
who volume 2,0
volume 2 okayish. . didnt set pace much waited finale,-1
029 steve mother god,0
im staying awake night fr,0
2 episode insane,-1
finished watching volume 2 cant wait finale volume new year,1
coming tomorrow,0
"im episode 6, no word",-1
watching part 2?,0
steve died,-1
comeou,0
spoiler steve officially passed away,-1
"released, first comment",0
yo. stranger thing no running hill. no one want hear song again.,-1
excited!!,1
5 min left,0
136 die... die...,-1
new sexy,1
faltammm 30 minutoooosssss,1
hear guy 138 show 11 ripping stuff im guessing took someone maybe but someone got taken theyre ripping little tentacle whatever,-1
"obvious gonna die, tied like harry potter voldemort, demogorgon burned ep 4, fainted started convulsing, demo were....",-1
die die wow,-1
sooooooooooooo excited 1hr!!!!!!!!!!!!!!!!,1
cannot believe end like oh god watching since 7,-1
rain thunder big double body slam mr.whatsit max holly escape,0
someone know love im gonna fight air,1
hour blessed,1
noah interview may leaked thing said vecna misunderstood,0
robin dying,-1
tell safest character mike,0
everyones gay. end. saved lot time people. dont know woke went back time but is.,-1
come 1 hour 50 min btw,1
think one gonna emotional,0
every trailer vecna time,0
2 hour guy,0
140 mind flyer ?,0
darth vader beat vecna. good battle. honor james earl jones.,1
trailer craziest one soo far love ittt,1
last hour till childhood,0
think cause see max holly go multiple door dimension door but find right one go present day not past maybe vecna chasing aswell?,0
who taking cup water thursday,0
not able handle sad ending,-1
drew character pencil stranger thing fan love,1
steve dustin dy die,-1
im redy,0
merry christmas guys!!,1
5 hour remaining!!!,1
5 hour receive 4 hour stranger thing greatness,1
wouldnt wasnt waiting show. im 20 kid otw,1
no one asks question?if upside creation mind......than demigorgons ............,-1
mr whatsit,0
waited 5 fking season boy showoff,-1
merry christmas who excited volume 2,1
"steve die ,you doe",-1
"guy found something, watch 118 someone falling, maybe sacrifice season 5,but dont want steve dustin die",-1
change song? stranger thing running hill period,0
lucas plssssss buy spotify premium,0
aint u late??,0
042 muzan,-1
032 wait kinda look like dead light,0
today coming outttt!!!!,1
like staying awake till 1am bringe watch new episodes.,0
today day,1
"basically shock jock episode , something bad happens steve everybody think steves dead. but steve reappears crucial time making plot twist.",0
protect steve harrington,0
bring 2 theory 1kali upside studied ability used create energy hawkins lab rise ugly walls2in main trailer vecna said william youll help one last time didnt said vol 1 lead betrayal vol 2 finale,0
bring 2 theory 1kali upside studied ability used create energy hawkins lab rise ugly walls2in main trailer vecna said william youll help one last time didnt said vol 1 lead betrayal vol 2 finale,0
"think choice choosing side song not good all. show mystery suddenly song add upbeat element it, match mood all.",-1
cant wait,1
timeee yesssss,1
vecna looking like swamp thing every passing day,-1
"man sorcerer episode, hyped vol. 2 drop! really hope max holly escape upside down.",1
everything started going end william.......,0
everything ever assumed upside dead wrong bro im scared happen volume 2,-1
"ha, stupid soldier brought gun nancy fight",-1
gun shot fire,0
pls dont tell steve going die,-1
finally tomorrow,0
upside creature,-1
"or,all story real but upside world real world trapped fake world?",0
"think whole story based dungeon dragons, 4 child mike, dustin, lucas imagining upside world created imagination got missing",0
hour volume 2,1
yeahhhhhhhhh. steve dy,-1
guy crazy fan theory blow mind bro tell netflix reply comment,1
christmas day trailer say christmas day . but netflix say friday he lying he lying !!! finale wont new year,-1
dec 25. still not on. think yer pulling middle legs....,-1
avenger endgame vibe....,0
chrissy alive died stranger thing season 5,0
vecna time,0
legendary show one hit season another. final season another hit really hope nail ending perfectly.,1
noooooo! not ready,-1
sinnax trailer watch trailer,0
so...... vecnas transforming another version???? vecna promax 3.0????,0
let gooooo,1
.,0
,1
yes december 25,0
dropped hell lot pretty hard watch honest .. massively rushed no story ... exactly expected.. want w8 year shoe come netflix get it. thats diddy smashed netflix coz dumbos,-1
going epic thing ever seen,1
ready tomorrow,0
"also think there no happy end, feel like, many character die",-1
"hours left volume2, cant wait anymoreeee! dont even try hurt steve duffer else ready episode 9",1
honestly guy prepared ending going break many heart .it not going happy ending. else whats point vecna.,-1
"chance end upcoming ep. , get see 011 002 . make 013 saw beginning 13 come dice demo chhuu mantar .",0
tomorrow could upside down. drop like agree,0
eddie 115,0
christmas day no stranger thing,1
mariah carey timeeeevecna time.,0
show gift generation,1
anyone watching christmas,0
dustin die. lost alot,-1
338,0
,-1
honestly even though last season wouldnt surprised pulled fast one u said there movie finale coming next year,0
cooking,0
lucas get buzz,0
please dont let steve diethen im gonna uninstall netflix,-1
im,0
perfect song choice,1
"die, die. dont feel great this...",-1
die die,-1
steve,1
crazy excited,1
"024 peacemaker season 2 ending, peacemaker walked door. peacemaker came stranger things universe",0
"hearing case eleven step dad, show look disgusting. seen acting. look like cooking something private.",-1
8 min,0
vecna huge clock still saying season time,1
"die, netflix die.",-1
vecna timepizza time,0
verna struggling choose skin,0
today,0
nancy look eerily similar sarah connor shoot gun?,0
"steve gonna die, gonna die, max gonna die, holly gonna die, basically everyone gonna die except derek.",-1
25th december. volume 2,0
steve bhai ko pure india ka support h,1
tomorrow,0
tommorow,0
know doesnt government bomb upside,-1
give vecna gonna clap wooden butt way upside down.,0
"dont cry over, smile happened dr. seuss",1
today!,1
fahhhhh also vecna picking skin type,0
steve dy die really irl sue guy,-1
out. image 5 season series 11 years. image could ended 3. brother really draw show out. almost beat to..,0
but christmas today na?,0
stranger thing tomorrowwwww,0
feeling nobody going die? lol . thought someone going die season 4 nobody did.,-1
,1
hopefully dustin less emo part. couldnt stand first four episodes. he usually one favorite character,0
im gonna puke im excirdd,1
el new airbender?,0
let fuckin go!,1
115 mil hug dustin,0
tomorrow guys!!!!!!!,1
050 u still alive?!,0
yall im still ep trying find,0
vickie cooked,0
never ending story not end volume ima crashout,-1
,1
118 thats not steve thats holly,0
christmas stranger thing volume two,0
time,0
henry switchingskins wtf,-1
tomorrow babyy,0
vibe like umbrel academy,0
no one going die mark word,-1
"die, die. die die.if either die netflix subscription",-1
121 great vecna practically shapeshift im sarcastic,0
119 holly cooked,1
volume bouta dope,1
dude mind flayer bouta final villain,0
giving avenger infinity war vibe love,1
christmas wheres new ssn??,0
real ost song trailer?,0
locked tf,-1
im excited tomorrow but imma finish like couple hour,1
steve dy next episode vanishing duffer brother,-1
"right cause tell u there going series finale new year eve. slimy, netflix, absolutely slimy.",-1
frikin hate dr kay,-1
seaosn 2 flashbacks. hospital anyway.. karen ted hospital max.. demodogs there. yeah dunno.,0
superb,1
robin better not die,-1
roben cooked demodogs.,-1
wait find clip robin talking took demogorgons? cause ended right killed them.,0
nahh yall saw 107,0
steve fallinggggg,-1
bro kali,0
isnt anyone talking cross eyed vecna look last scene,0
"die, die",-1
133 someone explain happend,0
show pretty much watch netflix,1
r waiting,1
playing final episode damn theater new year eve,-1
"duffer brother even touch hair dustin, mike, steven, will, nancy, robin, jonathan, lucas, hopper, joyce, delightful derek, erica, holly, max, karen, ted, sue emotional damage",-1
"one day left, really wish give u happy ending, dont want die, enough",1
peakkkkkkkkkkkkkkkkkkkkkkkk,0
steve death coming,-1
hell yea fire,1
see tonight.,1
102 part trailer amazing,1
"die, die.my reaction watching noooooooooooo",-1
vecna onion bhajji man,0
byler,0
ik ive waiting butim not ready.,-1
1daysss,1
scene fireeeeeeeeeeeeeeeeee,1
everybody think steve going die. think dustin,-1
watching christmas eve,0
"read jesus much love want heart. strongly proclaim giving life jesus best decision ever made. couldnt life without him. anyone need talk, please fill free message me! god bless!",1
"read jesus much love want heart. strongly proclaim giving life jesus best decision ever made. couldnt life without him. anyone need talk, please fill free message me! god bless!",1
"today yall, today 1200 a.m.!!!!omg omg omggg merry christmas eve, christmas!!",1
120 max holly cooked,1
last,0
"way, want know get magic",0
chick eating disorder weighs 70 pound rambo? no,-1
thank giving u stranger things.,1
completed stranger thing today really excited volume 2,1
109 damn! turned small mike like heck small looking face,-1
"im futuresteve, dustin, karen, robin, gonna die",0
"im futuresteve, dustin, karen, robin gonna die",-1
"booooring watched first half within 40min hard skiping, much nothingness happening",-1
"die, diethere conformation steve lives, relax people",0
nice,1
please steve dustin dont die,0
no one dying please,-1
118 steve?? u see something someone falling sky,0
"vecna vol 1 time ... you, willvecna vol 2 time ... you, dustin stevevecna vol 3 time ...",0
duffer brother dead,-1
today?,0
049 perfect sync,1
cant wait,1
no steve,-1
117 idk but one falling think eleven zoomed saw red short maybe right..maybe el,0
"die, die.i hope die",-1
yooo gave nancy gold scar?,-1
holy shit. think holly important max holly escaping. remember mike said holly heroic cleric create door different dimension visualising them? think would able visualise door finally lead escaping. body covered goosebump,1
welcome back kali,1
1 day left let goooooo,1
vecna said time said time what? die yeah know,0
"die, die stfu",-1
"008,011, 001 defeat vecna cause see use play dd roll 20 u defeat vecna 811120 team able defeat vecna together",0
steveeeeee omgggg,-1
chat 2 day,0
steve dustin want always together......until death....136 139love real buddy,1
yo bring back lockwood co,0
henry creel trying choose skin,0
doesnt power swear..,-1
confirmed steve dy,-1
nice,1
sad realise end era missing soo much stranger thing,-1
max still running hill fr,-1
please tell ted walk em wheeler power,0
nancy wheeler cool little woman,1
duffer brother hurt holly sue,-1
"steve, dustin, karen, robin gonna die",-1
yall ready steve dustin death,0
mariah timeeeeeeeeeeeevecna slash one slash henry slash mr whatsit time,0
hello,0
thing,0
chat mutted,0
hello everybody,0
119 bro changing skin,-1
waiting...,0
steve die die dustin die die netlix die subcripshion,0
,0
last ep nancy die,-1
neither steve dustin die.,0
"excited see vol.2, cant wait see unleash power vecnas forces.",1
cant waitttt,1
love editing,1
doggy gorgon,0
guess lesbian girl girlfriend gonna go today,0
siuuuuuu,0
wow,1
025 holly opening interdimensional doors???,0
volume 2,0
great trailer,1
die die writer netflix definitely die,-1
ending better group grown stuff dustin shown lead scientis. zoom office show hawkin lab building sign building say scp,0
get ready vanishing duffer brother,0
ti season bout lit bruv,1
054 nancy brave!,1
gosh isnt even trailer volume 3 crazy there,0
steve wearing hat not normal,-1
think hopoer die trying protect eleven. kali might real vilian controled vecna . also predict vickie die also jonathan die nancy completly depresed robin suport nancy start dating robin. probably eleven lose power desapear.,-1
hi. cant find netflix yet.,-1
diethe duffer die,-1
"ready, one last ridestar lord gotg 3",0
"yeah, awesome but steve dy mean dustin dies, suck cause one defintlly gonna die.",-1
no presence new episode duffer brother cooking,1
nancy badass top truck,1
not ready,-1
completed season 5 vol 1 309 dying vol 2 know feel suspense ........hell fire never dy,0
im srry family but im not gonna make christmas iykyk,-1
"congrats netflix making u wait 4 year new season making u wait episode , netflix time give stranger thing fan something long wait , think deserve it.",1
2 day,1
"die ,i die steve die die",-1
much potential. ruined cgi.,-1
stranger thing come end,-1
2 days!,1
omg,0
die die,-1
praying doesnt flop hard season 5 part 1...,0
notice dont see mike together trailer... wonder why...,0
tf holly falling sky,-1
cant wait,1
wait mean dustin moght die steve,0
release tomorrow instead waiting come ur dont crash,0
032 literally need song,1
138 noooooo,-1
mind flyer,0
pls no derek dying,0
,1
hollyaaaaaadereksuck. fat one,-1
im lowkey scared,-1
vicky might die???,-1
hospital invasion??,0
exited,1
gonna banger,1
008 back,-1
holly cooked,0
think holly get power,0
"vecna every season timealso vecna nvm, ill come back tmmrw",0
"die, die",-1
guy steve gonna die announced,-1
best 2025?,0
"not thrilled released 8 really tricky puppeteer, power manipulation nut however long upside abusing mind make weapon.",-1
wait many episode getting?,0
byler canon,0
must say far lease good seasons!,1
"steve dies, ill cryif dustin dies, emotion hit twice hard steves deathif steve dustin die, ill go full depression like 5 month",-1
w show,0
think kali meant eleven sister also villian,0
one falling piece earth pls dont steve,-1
time! new world,1
oh peak not ready,-1
boring tv show ive ever seen,-1
upside music diabolical,-1
realised eleven could flayed mind flayer born doctor brenner injecting henry dna mother gave birth henry blood flooded mind flayer particle there chance could turn party vol 2 also remember door shed getting chased demogorgan s1 e1 door opened physic power 011 might opened door edit whoever think true please reply like need viral,0
put susie please oh yeah dustin he main character. mean steve wont die know true villain is. bar thing abandoned her.,0
thought another ai trailer,0
going insaneeeeeeee!!!! waiting 25th 31st!!,1
"steve dustin dies, one episode extra vanishing duffer brothers....!",0
holly cooked,0
please make stranger thing 6 season please,0
die diedear duffer brother dustin steve harrington die cancel subscription,-1
120,0
cant stop cry,-1
vecna bowing bos end trailer.. could thessalhydra season 1 dungeon dragon game?,0
2 day yall!,1
2 day guy,1
ok dont know others realized but video music camera angle mike side camera angle taking side shaft see max holly looking inside ball red energy basically going inside round round notice great job netflix.,1
no steve dont die. atleast dustins sake,0
holly dying episode watch netflix ignore,-1
no one talking kali?,-1
guy guess know one confirmed death thats vickys since know look face mean bad news demodog also not mention really showing screen like cast stuff.,-1
"crazy theory mine im sure correctshes cleric, mean divine powers. cast spell protection ward evil spirits, even cooler , cast dimension door teleport anywhere visualize.this mike told holly scene go talk school ep1. know doraemon door saw trailer? holly get power",0
kali come back,0
ass... yeah.. no..?,-1
2 day left yesss,1
oh boy absolute cinema,1
"no, no, no, no, occurred continues 2 day end 9 days. dont want end.",-1
said die die reason.,0
havent watched yet neither vol 1 but inshallah ill watch got plan watch peacefully nostalgically,1
"please dont end masterpiece, need atleast 20 season",0
"118 steve falling edit not steve, holly",0
,0
got goosebump,1
"okay, rewatched s5, ep1, mike say holly dnd character holly heroic cleric cast divine power open dimension doors. 025 there door, type field henry mind. holly unlock powers?? believe happen, but theory.",0
steve cannot die please. ill sue netflix,-1
never ending story ending,-1
hitman,1
stranger thing ending going break,-1
wish show would never end,-1
nancy badass!,1
cant described word hyped am. ive never excited whole life season final.,1
murray dy,-1
cant wait,1
yaasssssssssirrrrrrr,0
bro mileven kissed every season but idk one,0
die die,-1
date ???,0
raise hand watching last episode theater!,1
8,0
dusty bun dieing two day,-1
guy there gonna new episode steve distin die called vanishing bluffer brother .or takedown netflix . steve dustin come back whif nuke 213 213 213 213 213 213 213 213 213 213,0
107 steve gonna die vol 2 thats stranger thing s5 end,-1
"008, el william need final scene together facing vecna also rest...",0
wow waiting early !,1
rohit sharma ka advertisement dekh ke aane wale...,0
"upside wormhole effect. like bit like series dark. said science teacher season, but brief time.",0
keep christ christmas.,0
"die die actually got me... totally know theyre gonna live sequel money gonna glorious pas 20 year but love everybody even cast, crew, netflix know dont want die.",1
"8 traitor, human used like weapon good reason change side",-1
dustin die. die finale.,0
gonna really exciting,1
105 demodogs enter chat,0
let gooooooooo,1
exicited omggg,1
"steve dustin robin dies, netflix subscription.",-1
idk watching 4 episode im kinda thinking johnathans gonna big death season maybe nancy focused killing vecna vecna opening shot kill johnathan something like,0
idk. gotta feelin steve gonna die trying save nancy.,-1
steve dustin,0
dereck,1
117 holly?,0
"die,i die making restless",-1
please change eleven outfit,0
"ok noted, watch list movies.",0
leave last episode 2 hr episode but put movie everyone experience together..no? ok ..,0
3 day guy,1
bring 11 sister back not good sorry 11 way better sister take 11 special power away make 11 special ruin tv show bring back another superpower sister ok cool make make sense,-1
steve die..,-1
"hey netflix, leave boy dustin alone",-1
3 dia,0
135 historical word possible history.,0
117 better not steve eleven,0
trilled,-1
wait watch,0
stranger thing 6 ??,0
???,0
happy early birthday finn,1
"no, wouldnt that. steve dustin stay alive.",0
want christmas stranger thingsssssssmy christmas gift watch st new episode night no,1
bro steve gonna die,-1
long live stranger thing,0
like real world.. govt bad people villain,-1
divide 3 section,0
145 mindflayer control vecnahenry?,0
netflix dustin steve die getting one star rotten tomato,-1
im ready brooooo,1
im not prepared,-1
054 everyone think fire beat,0
go nancy!!!,1
yeaah,0
vecna close thessalhydras teeth.,0
la hypeeeeeee,1
trailer volume 2 see el hopper someone else think riding something maybe demogorgon demodogs controlling,0
ok no one dy sound good?,0
last 2 day guys!!!,1
"derrick boutta cooking vecna ts, feel t not even fair fight",0
destructive dangerderek bring vecna derekdeath.,-1
chills.,0
117 nahh steve flying,0
117 falling person steve?,0
,1
love song movie netflix fav movie company,1
1206 cope stop explaining u dont care,-1
guy think mike making guy power,0
nothing stranger thing able talk welcome darry im sorry,0
rip steve,0
"calcuations, 059 minute dustin isnt steve, could mean steve gonna die volume 2",0
steve hat tho omg,1
brother made preety predictable steves death. getting ready take it.,0
ahhh oh goshhhh ahhhhhhhh,1
still crazy started small town season 1 mystery. im ready...but im not ready. but im glad final season arent dragging like shows....,1
havent seen single episode season still commenting coz trailer look cool,1
one falling think thats steve hair harrington,0
"151 not ready end , get",-1
hope max lucas going reunite,1
vecna ride thessal hydra?,0
112 reminds jurassic park,1
034 diana song not fitting all!!!!,-1
no dont ducking die steve dustin.,-1
omg think eleven dy sacrifices?! saw part thing came stomach throat??,-1
not steve plz no,-1
yeah murray got shot but wont reveal untill end,0
man old kid,-1
die cry,-1
"steveyou die,i die boy chill u die netflix subscription dy",-1
india biggest superstar prabhas fan,0
a1 sound design team holy,0
everything incredible,1
fave show ending making sad rn im gonna miss guy,-1
ready thissssssss omg,1
going dragon...,0
109 eleven bald,0
10 day say goodbye decade life,0
hear upside diana ross?,0
wait someone fall steve death think remember show said pop 118,0
die die,-1
look terror vickies face get every time,-1
netflix steve dy dustin die,-1
season five episode five,0
henry vecna fast changing scene insane!,1
dustin running to? 137,0
something biggggg,0
052 nancy smokeem wheeler,0
anyone watching 2050?,0
watched season love much el learnt many thing,1
literally watched 5 season 4 day watch volume 2,1
wow nice series,1
save steve cost,1
die die netflix plsssss ever want dont doo plsss want strave,-1
"omg netflix .the trailer giving chills, gonna suppose watch vol 2. gonna blast",1
