manually_labelled_snetiment,comment_id,author,text,published_at,likes
neutral,UgxadyFoXGUmIHT51-x4AaABAg,@mennakamel4168,This is so randomly dropped,2025-12-15T13:41:06Z,1
negative,Ugz0DSGLsbkYewojH2t4AaABAg,@RishikYadav-z2c,Why is there so less of rockin Robin in this😭,2025-12-15T22:17:13Z,0
positive,UgzEGgpn1TYVr0geq014AaABAg,@GerardoLuqueLumbreras,If got one word: CINEMA!,2025-12-21T14:23:40Z,3
positive,Ugx50BbXrTcx8lWuHFZ4AaABAg,@Vision-rt8el,"Oh my gosh, I can’t wait",2025-12-16T12:14:42Z,1
neutral,UgwkNQQKI8zE19z4-9p4AaABAg,@TheHomelander2099,"steve, dustin, vickie are dead",2025-12-15T14:38:24Z,0
neutral,Ugz9M9pWSQ3QuCWeKk54AaABAg,@wolliw_nosnah,I SWEAR IF STEVE AND DUSTIN DIE--,2025-12-16T04:09:24Z,0
neutral,Ugx04VovD8N34A2qZCV4AaABAg,@i.M.VJ...,"YOU DIE, I DIE 
NOOOOOO",2025-12-15T14:21:16Z,1
neutral,UgzVAedGjUdP6hpWs014AaABAg,@GurpreetKaur-ux9ug,"You die, I die. 
I always knew this was going to come back.
Don’t you dare die 😢",2025-12-16T05:19:12Z,1
neutral,Ugzeis8DLj75ySTSREp4AaABAg,@Sans_The_Skelo,Two hour gang here,2025-12-15T16:23:37Z,0
negative,Ugzv5qjQOjsmz0weC8p4AaABAg,@MarinasMissing,Only thing I know is if Will dies I will sue the Duffers😭 (joking btw),2025-12-15T19:19:40Z,0
positive,UgxN3kZ5ul9LyGcAUbN4AaABAg,@mysticgamer7532,Peak Things incoming 🥶,2025-12-15T14:23:49Z,0
positive,UgxS1lnAeiA39_5RnqF4AaABAg,@CattHorrorST,"First off, Nancy finally shooting some bitches with her AR-15 blick blick
Second off, I'm so happy Dustin and Steve are getting along one step at a time, I love their relationship so much❤",2025-12-17T06:11:40Z,0
neutral,UgyFPPIS1Hw9EvtF5c54AaABAg,@tabithaimmanuel5895,"Guys, did anyone else notice that Steve and Dustin are together in the upside down scenes but then Dustin is with Robin, Lucas and Noah in the truck… I really hope this doesn’t mean that Steve didn’t make it😢",2025-12-16T05:51:33Z,0
neutral,UgyyM8YKqgd45lMLVPx4AaABAg,@muhlaynee,Again...where is Erica?,2025-12-15T16:10:53Z,0
positive,UgzSCppIyGA7RVkYBD54AaABAg,@affindrapinong2468,"from supernatural, mystery, thriller turn to action, adventure",2025-12-15T17:15:21Z,0
neutral,Ugz0_zDVMwgX5i9tfih4AaABAg,@kevinyang4842,"If Steve and Dustin die, we all die !!!",2025-12-16T20:01:29Z,0
neutral,UgySA9t1i9EdG0x5M-t4AaABAg,@saranshalu9589,Got chills while watching the trailer,2025-12-16T00:50:53Z,0
neutral,UgzCuwkjWP1PggxLORd4AaABAg,@takeonthiss,"“You die, I die.”
I'll die too 😭😭",2025-12-15T17:01:54Z,0
negative,UgyP5EXJhdmaCWjb1Vd4AaABAg,@evadavila7885,"Wtf do you mean “ you die, I die “. WTF😱",2025-12-15T17:13:21Z,0
positive,UgybxMd6aVGAewQ3oHd4AaABAg,@Rockel97,"When I saw the trailer pop up on my feed, I was hoping it wasn’t another fake trailer like the rest of them. Excited to see the rest of the season!",2025-12-17T03:23:46Z,0
neutral,UgwvR8lcLV72IOp9FQF4AaABAg,@boogie349-y3p,BRO I JUST WATCHED A FAKE ONE!!!!,2025-12-15T15:11:17Z,0
positive,UgzAseReFMSyTAPng8B4AaABAg,@laurix303,STEVE AND DUSTIN FRIENDSHIP IS BACKKKKK!!!!!!!!!!,2025-12-15T19:18:46Z,1
positive,Ugxegtg3Pf1wmfjtsad4AaABAg,@Trees-l1q,I CAN’T WAIT FOR THE RIGHTSIDE UP🤩🤩,2025-12-15T14:56:33Z,0
positive,UgwmjexH2jsqbB8m6_p4AaABAg,@MarekTowarek-i6p,hell yeah,2025-12-17T13:22:36Z,0
neutral,Ugy2TPgDpZti7DDYXH94AaABAg,@Kamalesh07-kv4ed,Steve ku mattum ethachum aachi avalo thaan netflix ey,2025-12-15T14:34:36Z,0
positive,UgwNtT7YQUQa11cES3d4AaABAg,@Legendu85900,I don't regret spending my pocket money for Netflix,2025-12-15T14:32:37Z,1
negative,UgymiNpPqz_tBckRp-N4AaABAg,@Fathima_23N,This is more than predictions...🤯.not getting any clue...can't understand anything🙂...anyway waiting for 26th December😌📈,2025-12-15T14:19:06Z,2
neutral,UgxdIoLFoXPRL7nRGGF4AaABAg,@TABASSUMKHAN-d3g,"I you die , i die 😭",2025-12-15T15:27:18Z,0
neutral,UgzV5rgfELcWcNJL0O14AaABAg,@Maylo-ue8gg,I SOBBED AT YOU DIE I DIE,2025-12-16T05:53:53Z,0
positive,UgxFPcekTPLSyd4NR3t4AaABAg,@Brody-h1k,"Looks like the best duo the world 🌎 has ever seen is back , Steve and dusty bun!!!🥳🥳",2025-12-15T20:41:27Z,0
neutral,Ugyg_st9SD0wrWEOHDt4AaABAg,@closhotffx,Release date?,2025-12-16T05:28:36Z,0
neutral,Ugxy9aAwaarpc9xabYx4AaABAg,@transportvidsni,"If Steve dies, I'll cry
If Dustin dies, emotion will hit twice as hard as Steve's death
If both Steve and Dustin die, I'll go into a full depression for like 5 months",2025-12-23T17:16:47Z,0
positive,Ugzl_W8yrHjj2-BQKO14AaABAg,@AMW.,We're in the endgame now ty shiiiiii,2025-12-15T20:01:02Z,0
neutral,Ugyw3H-aonzoJwqbr2R4AaABAg,@an.8914,Das sieht heftig aus 😱,2025-12-15T15:55:44Z,0
neutral,Ugy9jZrw-jf7n_ZTWNN4AaABAg,@Lucifer-m1w,It feels like the last episode 😮,2025-12-16T20:20:03Z,0
neutral,UgzNAa27xDBJvg22_xB4AaABAg,@braelynsayre,you die i die NO???,2025-12-15T20:39:28Z,0
neutral,UgwPLu41qwHDLmivDOJ4AaABAg,@Haslogyindiaofficial,"You die, I die....",2025-12-15T17:47:23Z,0
neutral,UgybbyECgurbWmX39XR4AaABAg,@muneeb4723-e3c,Boom 💥,2025-12-16T01:39:17Z,0
neutral,UgwmQHPamEJ71TZ7YbR4AaABAg,@jto541,Before S5 I thought Dustin was without a doubt one of the few characters who was safe. I have since become increasingly concerned for his welfare,2025-12-16T06:20:09Z,0
positive,UgxPYAzWH6pxvaRsSfl4AaABAg,@EvienneRoblox,YESS DUSTIN AND STEVE ARE SO BACK,2025-12-15T14:51:06Z,0
neutral,UgzgMULzr8w0pAwPFxp4AaABAg,@AJS_2009,"Wtf do u mean by ""You die I die"". 
Neither of u are dying 😭",2025-12-15T16:52:40Z,1
neutral,UgxErC8_AvzDZKXpGx94AaABAg,@yutakasano6374,delightful derek boutta solo vecna,2025-12-15T14:54:07Z,0
neutral,UgyrpJ-e5wbNInctAVp4AaABAg,@injusticecuberwasi2964,"You die, i die? 😭😭",2025-12-15T14:13:31Z,0
neutral,Ugy9njjpPbVkvEKF9p54AaABAg,@KialsWorld4233,I bet the thing will painted on the barn door is the rib cage to the monster Nancy saw in the vision in season 4. During the table read the Duffers referred to it as a rib cage like thing,2025-12-16T00:15:36Z,0
positive,UgwZtnRRzOPZmPfl53B4AaABAg,@_jonkent,absolute Cinema on my TV! Cannot wait!!!!,2025-12-15T14:32:59Z,0
neutral,UgxInyzGlsb_a_s6MfJ4AaABAg,@pirounomaxairis,"""You die I die""

Plzz NOOO",2025-12-15T13:46:00Z,0
neutral,UgzzPh8sQl6xf7doFAZ4AaABAg,@brianj436,"No dustin dont say that, thats gay",2025-12-15T19:12:47Z,0
positive,UgyQap6H9O50iWsib654AaABAg,@EyeOfTheTigerUDontKnow,5more days Strangers,2025-12-20T07:57:01Z,1
positive,UgwKKhPAophQ33meE614AaABAg,@FOREZStudios,"This not even looks like a New Volume, Its a Brand New Season! DANGGGG",2025-12-15T15:46:44Z,0
neutral,UgyOr5WPix7vgHT1GYV4AaABAg,@ateriontoremourne1869,"Well, folks... this is going to get ugly.",2025-12-15T14:10:18Z,0
neutral,UgwXhNLQgbcZ12z6Jkt4AaABAg,@thesorcerersscroll,So Murrie is going to die....!!!!!!,2025-12-15T18:02:59Z,0
neutral,Ugxwm7jRFpquBazxlnZ4AaABAg,@Daniellezek,Protejam o Steve e o Dustin 🥹🥹🥹🥹🥹,2025-12-15T14:19:21Z,0
neutral,Ugz9hfUDmL6EiDMWtcx4AaABAg,@sriyogaathmanathan929,1:19 😭 vecna's transformations,2025-12-15T15:17:41Z,0
neutral,UgxXpqgC2cr02oDxQcJ4AaABAg,@sabri_yt_priv3155,watched it on tiktok after 27 minutes,2025-12-15T16:09:58Z,0
neutral,UgwpfWXGEZbfrc8gS314AaABAg,@yuvraju2003,I am imaging vecna.. dkci😅,2025-12-17T19:55:18Z,0
positive,UgyaibxR0YDuZRv4Ds14AaABAg,@Galaxyguy12320,OMG FINALLY🎉🎉🎉,2025-12-15T15:40:27Z,0
positive,UgzzpHx477-qv4PCdo14AaABAg,@litotales,Avengers Assembled,2025-12-15T15:05:05Z,0
neutral,UgwTHroO2d1yqvFmbVF4AaABAg,@DoughyDewey,OK OBSCURUS,2025-12-15T14:43:16Z,0
neutral,UgxazF11OFQZ97qBinV4AaABAg,@A.S_ButterMan,MURRAY IS ALIVE,2025-12-15T21:15:29Z,0
neutral,UgzUfTRGGG5l5iPjjqt4AaABAg,@Arwaaz_Aryan007,The last 💀,2025-12-24T12:34:29Z,0
neutral,UgyzS1E9KqKOXydYGEF4AaABAg,@Meenuvlogs-2000,"Steve: you die, I die
Dustin: you die, I die
Us: Both of you don't die!!!",2025-12-15T16:13:13Z,1
positive,Ugzd4NYXWkcTBMWb6oh4AaABAg,@Aditya3705c,Less goo,2025-12-15T14:31:59Z,0
neutral,UgzDjaUCm97dXTqZlvJ4AaABAg,@Sololev_Live,Pin me netflix please i love u,2025-12-15T13:40:55Z,0
neutral,UgyWCaYv9qw--DHVNOJ4AaABAg,@adnil61,UPSIDE DOWN N SIDE OUT 😮😮😮,2025-12-15T13:49:24Z,1
neutral,Ugw1oj6jNyx_CmFz5GV4AaABAg,@jayantioraon615,"""you die, I die"" 
BRO WHAT DO YOU MEAN",2025-12-15T14:21:34Z,0
neutral,UgzbUxFF7KoesCi2wN14AaABAg,@thetechnocrack,DONT DIE,2025-12-15T15:27:37Z,0
neutral,Ugw5BpzhmnbmtDDYb_d4AaABAg,@yourfavpersuasion9385,What do you meannnnn you die i die!!??  If either dies i am flipping tables in the house!!,2025-12-15T19:21:27Z,0
positive,Ugxuy8khKO0Hqgkt0EV4AaABAg,@JarreauPunt,IM SO EXCIED!!!!,2025-12-15T21:02:23Z,0
positive,UgzyEoTW4e7SIVG7BY54AaABAg,@kristeenrouselle,I have never wanted christmas more,2025-12-16T01:39:51Z,0
neutral,UgxEJvb7pHzIrxBImS54AaABAg,@sadanand200,I am only interested in how a will's power overtaken everyone's...,2025-12-18T13:30:18Z,0
positive,Ugw0NFO9nCRS_Vvba394AaABAg,@aarnapatel1864,the fact that el just has so much aura,2025-12-15T14:59:43Z,0
neutral,UgxZI3Eifz49Rmqo39h4AaABAg,@0omatthewo0,"the ending better be the group all grown up and stuff and Dustin is shown to be a lead scientis.
 they zoom out of his office and show its the hawkin labs building and the sign on the building says ''SCP''",2025-12-24T00:30:54Z,1
neutral,Ugw11-4M05-MTmAjOUF4AaABAg,@shelbeepollino9008,"Where. Is. Suzie?! The team *needs* that little genius from Utah to jump in Argyle’s van (because we all know he and Eden are shacked up in Salt Lake together) and head to Indiana. Help them out, Suzie!",2025-12-15T16:33:22Z,2
neutral,UgysW1oqaVUe3qkORwp4AaABAg,@er-my-oh-knee1897,Guys I think Hopper is not sacrificing himself this time after all.,2025-12-16T05:18:04Z,2
neutral,UgwFlNVggYYOIS2DIVV4AaABAg,@luhzuhyt,BRO I SWEAR IF STEVE DIES😭😭,2025-12-17T11:47:57Z,1
neutral,UgzC3FpmwkT-Bqzlogx4AaABAg,@kh-xm6om,At the new years eve party where everybody is watching stranger things thru their phones. Clock strikes midnight some idiot starts to yell happy new.... Then you hear shaddup we're trying to watch stranger things thru our phones.,2025-12-17T20:12:48Z,1
neutral,Ugx4u1g-rrOs-x4AJ8t4AaABAg,@ishmeetsingh4103,Can't believe all this in 3 episodes 😳,2025-12-15T13:43:23Z,0
negative,UgyEB64G88sDCBo2kc14AaABAg,@Nutshell_John,meh,2025-12-15T14:08:27Z,0
neutral,UgyknGuH9k77GUGvQbZ4AaABAg,@SomeBasedDude,"""You die I die""
""You die I die""
Well now they both have to die to make it truly poetic",2025-12-17T02:14:03Z,0
neutral,UgyA6xCqWmUBCd7UWvd4AaABAg,@MaxStrain-mt6hi,The trailer here is slightly different on netflix itself as the shot of eleven with the headphones is two different shots edited together on netflix but on YouTube its only one longer one. Interesting,2025-12-15T20:29:54Z,1
negative,UgzU01XOPhaovU6J9al4AaABAg,@joaquinvaleri7022,This is horrible,2025-12-17T19:34:52Z,0
positive,UgzRCi4R6IZIXnrLrdR4AaABAg,@alyzzxswayz,OH MY GOSH I CANT WAIT!!!!!!,2025-12-15T16:09:30Z,0
neutral,UgysLTVMoD1VvEPpyJd4AaABAg,@zaveriyakhan9563,"YOU DIE , I DIE!!",2025-12-15T13:47:30Z,1
neutral,UgxUoRvnPrnxcaYoINl4AaABAg,@dumbgreenbean,VICKIE NO!,2025-12-17T16:07:44Z,0
neutral,UgwLt0Oa0Em1FAYGbnF4AaABAg,@jeonglixera,"ok, pero donde esta byler",2025-12-15T19:29:25Z,0
neutral,Ugxt9SrcV_YxMFB5sw94AaABAg,@user-wd3jx9rl8p,"""You die, I die.""

If they die, I die.",2025-12-15T13:58:10Z,0
positive,Ugwbkr2ZmxCE7YKyjyN4AaABAg,@erwinl.8152,One of my favorite bits of character development in this whole story has been that everyone just agrees that Nancy is the gun expert. Seeing her in full on permed commando fighting Linda Hamilton is sweeeeeeet,2025-12-15T17:33:41Z,3
neutral,Ugz5qcssVyImOZd5u6p4AaABAg,@NinjaTurtleConner,The way Dustin and Steve said if you die I did and Dustin saying you die I die make me think something bad is going to happen to one of them,2025-12-15T22:37:13Z,0
positive,UgwbdIdfi0BUxPZU4op4AaABAg,@EditVortexFX,It’s good to know that Steve and Dustin are back in good terms,2025-12-15T21:16:31Z,0
positive,Ugz_qqpzsLJg9lK5rWh4AaABAg,@pirate.613,"You die, I die.....
Iconic",2025-12-15T17:21:31Z,0
neutral,UgzbCva_LnTuz_c6Y9R4AaABAg,@positve10000aura,if one of them dies then the duffer brothers die,2025-12-16T13:51:19Z,0
positive,UgwrrQ359qt3jXZvKlZ4AaABAg,@IAmJetski710,Over 2 million views in four hours is insane,2025-12-15T18:00:11Z,0
positive,UgzSYa0tUCLb5P2hA0d4AaABAg,@muthuayyanar857,I'm Veryyyyyyy Excited To Season 05 Volume 2 ❤❤❤,2025-12-15T14:05:52Z,0
negative,UgwgPktM5Kx48pmnBpp4AaABAg,@seolarsims,Dustin and Steve are cooked,2025-12-15T17:09:34Z,0
neutral,UgyQKJ0dsPnBA5bktJZ4AaABAg,@SpeedyCODM,1:39 one of them are definitely gonna die 😭,2025-12-15T16:26:28Z,0
neutral,UgzH9oMsAgqe-HMePZx4AaABAg,@iamonmyvigilanteshitagain,oh boy... that eye is gone 00:07,2025-12-15T15:15:53Z,0
positive,UgzLaquWtFszFUgZR1h4AaABAg,@kavieos,OH DAWWGGGGGG,2025-12-15T13:44:42Z,0
neutral,UgwaSBBRwT6SYermXJZ4AaABAg,@s_mai8970,I want Joe's End of Beginning to play but not at THAT cost..,2025-12-16T13:52:21Z,0
neutral,Ugz6Ok_zC1XvAgAnGhZ4AaABAg,@chrisiggychan,1:13 looks like an unfinished shot😭,2025-12-18T10:39:35Z,0
positive,UgwvkU0rq1BsKv1XKv54AaABAg,@your_highness01,Goted,2025-12-16T04:46:02Z,0
