,comment_id,author,text,likes,published_at,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_label,roberta_label,pipeline_label
27,UgzsTo5vNwZLwhQlp894AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:46Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
28,UgzlL10B2F3ryYsT-2R4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:34Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
29,Ugzd8EnCuI3CPm-hNDV4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:30Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
30,Ugw4LrQkkN12TqTGitV4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:24Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
31,UgxbY9mMKAcXuwcyu394AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:17Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
32,UgwePDkLm7H3HfiIUtp4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:09Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
33,UgwdLHXZrEWVCbidOgx4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:00Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
34,Ugx5jJVP5lp7RovW4fN4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:53Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
35,Ugwd60GcgKJPhUXSP8B4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:45Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
36,UgxYNiRhhked1dAbO_l4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:37Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
37,UgwprwNs1dPmIKH25iZ4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:29Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
38,UgweYNrlhgZH_DnH3qN4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:20Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
39,UgzRGtvNuYdrLKHe8wN4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:28:12Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
40,UgwElQJpfdUNjuGRl5V4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯 I've heard that it will be released in cinemas of US,0,2025-12-26T17:28:03Z,0.0,0.892,0.108,0.3182,0.005596572998911142,0.3372640609741211,0.6571394205093384,positive,positive,positive
41,UgwI0lwEXQRDBQhpmjd4AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:27:27Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
42,UgxinBa0763scFbZt5J4AaABAg,@Flipkicker86,The Wills gays theme is really bring the the series down for me. Its obvious been addressed in several episodes and scenes throughout the series. They are just kicking a dead horse. What a waste of an episode.,5,2025-12-26T17:25:06Z,0.173,0.827,0.0,-0.7964,0.9743583798408508,0.023147687315940857,0.002493905136361718,negative,negative,negative
43,UgzZ800zigvwDXISnVB4AaABAg,@midphoenix,The Actress of Kali forgot to act in Volume 2 she is just reciting dialogues without invoking any emotions,3,2025-12-26T17:23:34Z,0.0,1.0,0.0,0.0,0.5049363970756531,0.4739363491535187,0.021127263084053993,neutral,negative,negative
44,UgwyHSK1wYgvfDHiqJB4AaABAg,@manosiva5225,Who are you wait for episode 8🥵☠️,1,2025-12-26T17:20:22Z,0.0,1.0,0.0,0.0,0.0755114033818245,0.7977415919303894,0.1267470270395279,neutral,neutral,negative
45,UgyGKfb3ZZJyt4JEOCx4AaABAg,@Dia_louvel,Honestly max stole the show this season.fkn amazing acting,3,2025-12-26T17:17:33Z,0.0,0.507,0.493,0.7783,0.07864528894424438,0.17537689208984375,0.7459777593612671,positive,positive,positive
46,UgyqQ6Gw2C3gKo_yFNF4AaABAg,@fernandocuevas6148,Is stranger things based on genocyber? 🤔,0,2025-12-26T17:13:55Z,0.0,1.0,0.0,0.0,0.11053157597780228,0.8476237058639526,0.04184466600418091,neutral,neutral,negative
47,UgzhWyaU6_sT0mhbXUt4AaABAg,@ItsHirro,So are we gonna talk abt hos there are 0 vids of ep 8...,3,2025-12-26T16:54:18Z,0.0,1.0,0.0,0.0,0.17244307696819305,0.7895673513412476,0.037989549338817596,neutral,neutral,negative
48,UgyYsvakiMNVyDgDJHR4AaABAg,@ozungeorge8058,"SO... just canceled my nf subscription... apparently, according to the story, accepting that you are gay is the key to saving th universe (i wish i was joking)",4,2025-12-26T16:34:55Z,0.0,0.825,0.175,0.6486,0.5518113374710083,0.3799613118171692,0.06822739541530609,positive,negative,negative
49,UgzP0h-Z51zgDnxzzYZ4AaABAg,@vrieda_the_gurl,Three episodes STRANGER THINGS noooo😭😭😭😭😭😭😭,4,2025-12-26T15:55:51Z,0.0,1.0,0.0,0.0,0.8423864245414734,0.13708633184432983,0.020527251064777374,neutral,negative,negative
50,UgzWbciQjjtFgev8ztN4AaABAg,@pawan-yp2mx,Volume 2 is all about saving max from vecna😶,7,2025-12-26T15:54:09Z,0.0,1.0,0.0,0.0,0.06309162825345993,0.7946219444274902,0.14228641986846924,neutral,neutral,positive
51,UgzNmO8gdQVcdtA1Nu14AaABAg,@julianvw3203,Who ever directed season 5 should be sentenced to prison for life,6,2025-12-26T15:51:45Z,0.328,0.672,0.0,-0.5267,0.9276297688484192,0.06908702850341797,0.0032832110300660133,negative,negative,negative
52,UgzNh4qoRf7_knPOa2Z4AaABAg,@Ayyycallmemaxx,I feel like I’m way too passionate about this series that it’s boring writing.,3,2025-12-26T15:47:49Z,0.126,0.549,0.324,0.5574,0.3919217586517334,0.36311858892440796,0.24495968222618103,positive,negative,negative
53,UgzX6GiL7SYQUXzHiI14AaABAg,@Cthulkas,"You guys dropped the ball bigtime

Setting the first half up like to completely throw it all away is crazy. It's like you wanted to end the show in the worst possible way lol

Why did you have yo force DEI on us? It's bad enough that robins entire character is just ""beinggay"" but now will too? 

Doesn't matter what happens in the last episode this completely sucked and ruined the show. 

Why does hollywood always ruin everything.",3,2025-12-26T15:46:31Z,0.232,0.712,0.057,-0.9569,0.9774718880653381,0.01985040307044983,0.002677718410268426,negative,negative,negative
54,Ugy5cJeTCUZNS0rdSWh4AaABAg,@sheepshepherd5888,Who tf thought it will be Holly Falling down,5,2025-12-26T15:46:28Z,0.167,0.833,0.0,-0.1531,0.6843189597129822,0.2977842092514038,0.017896773293614388,negative,negative,negative
55,UgxM1RiI-TPHr4_vG614AaABAg,@M4NA5,Underwhelming for sure,4,2025-12-26T15:39:29Z,0.0,0.465,0.535,0.3182,0.8672901391983032,0.12444543093442917,0.008264382369816303,positive,negative,negative
56,UgzrD2odXQ3deyNQiod4AaABAg,@kevincreamusica,"There’s only two scenes from the finale in the first trailer, this one has none :(",0,2025-12-26T15:35:28Z,0.0,0.862,0.138,0.3412,0.6525623798370361,0.29990971088409424,0.04752790182828903,positive,negative,negative
57,UgwlONx5QM0gcAq5TLt4AaABAg,@contemplation2381,"Nancy has always been a stupid person and here again she proved it right. She is one of those people who think they are brave and correct, who knows what they are doing, although they are wrong, they do it as if they did something great. God it feels so good to let it out after watching the S5 E5",2,2025-12-26T15:27:45Z,0.089,0.728,0.183,0.7809,0.3158310353755951,0.34252503514289856,0.34164395928382874,positive,neutral,positive
58,Ugym4KTNpwABjy9GFb14AaABAg,@Verneliric0342,"Y'all are tweakers, it wasn't eddie falling from that Sky 😭",2,2025-12-26T15:24:15Z,0.0,0.862,0.138,0.1139,0.5900394320487976,0.3780028223991394,0.03195769712328911,positive,negative,positive
59,Ugy3GhkfH5Lbfk8VL7N4AaABAg,@galalviat,"How are they keep making it better and better everytime!???
I cried too much my eyes hurt",3,2025-12-26T15:08:37Z,0.277,0.487,0.235,-0.2575,0.09551805257797241,0.15429970622062683,0.7501822113990784,negative,positive,negative
60,UgwQH_V0RH7fGc46K5Z4AaABAg,@broosgamers1187,Spoiler: Lucas is one of the Spartans,1,2025-12-26T15:00:41Z,0.0,1.0,0.0,0.0,0.17144490778446198,0.7858304381370544,0.04272463545203209,neutral,neutral,positive
61,UgyVEAVM9s48XvQjEVN4AaABAg,@SarumanIzen,"The penultimate episode is full of different emotions! I've been the kind of person who, since childhood, watches movies, listens to music, or plays games, and it's as if I'm there, on the other side of the screen, and I experience everything along with the characters. I've developed a habit of pausing the show and just sitting for a while, thinking, and digesting what I've heard or seen, and containing my emotions.
God, even if all the plot lines end in a completely unexpected way for me, I'll still be overjoyed, or, on the contrary, I'll weep like the last creature on earth, but I'll be incredibly grateful to the universe and its creators that I watched this divine series!
I pray for goodness, unbreakable health, happiness, and blessings to everyone who created and starred in this series—it's a miracle! ... (P.S. A heartfelt thank you from an ordinary, mortal viewer in Russia!)❤❤❤",0,2025-12-26T14:55:25Z,0.013,0.709,0.278,0.9941,0.00672873156145215,0.03347283974289894,0.9597984552383423,positive,positive,positive
62,UgxwpUByTiH-4rs1wId4AaABAg,@KING20047,"just to let everyone know, there is not a single clip of episode 8 in this trailer wtfff would happen in episode 8 i have no idea this looks insane",3,2025-12-26T14:35:43Z,0.17,0.83,0.0,-0.5994,0.9269227981567383,0.06440988183021545,0.008667293936014175,negative,negative,negative
63,UgwbDWnTiPyvI0eycwR4AaABAg,@clamojoat8543,WOKE CRAP didn't think the duffer brs would do it but they did 🖕🖕🖕🖕🖕🖕,4,2025-12-26T14:24:05Z,0.143,0.857,0.0,-0.2884,0.7559980750083923,0.21140888333320618,0.032593026757240295,negative,negative,negative
64,UgyAml8uAd5p_d5kWTp4AaABAg,@Sawda-y7w,"Just finished watching volume 2. Is it just me, or is anyone else disappointed with Volume 2? Really hoping the final episode makes up for it.",13,2025-12-26T14:17:24Z,0.103,0.795,0.102,-0.0018,0.4178515076637268,0.39925146102905273,0.18289698660373688,neutral,negative,negative
65,UgyiuF_WhRugymLhIW14AaABAg,@NAEVACTO.,"""whats on the other side?"" 
""...death"" 

chills",2,2025-12-26T14:15:33Z,0.0,1.0,0.0,0.0,0.580991804599762,0.38721010088920593,0.03179815784096718,neutral,negative,negative
66,UgwHrIdT_k8Oi0Tknq54AaABAg,@maxsw1ft,dustin was so right. everything about upside down they knew was so wrong,1,2025-12-26T14:10:02Z,0.25,0.75,0.0,-0.6113,0.3911518156528473,0.4296022355556488,0.17924591898918152,negative,neutral,positive
67,Ugy-avEcUyzpYomVAGx4AaABAg,@PhyPhyl6503,"Idk if it's just me, but I need to voice this. I really hate the typical 'hero stuff', the forever stereotype that heroes are never recognized or are hated and criticized by the public to the extent they become runaways or outcasts but still put on their cloaks and hats to save the same people who hate them. I mean, come on; Eleven has been perceived as an enemy since Season 1, always on the run from one or the other. Even to the last season, she still hasn't gained recognition from anyone except her friends and the new friends in their goup ie Robin and Max. Watching until now she is being hunted like the most dangerous villain on earth while no any other resident in Hawkins knows about her (in a good way); meanwhile the girl is working her head off to save her friends, Hawkins and the world to the point she doesn't even rest, and what? 'It is the freak??' I just can't sit right with this one, personally 😢😢",1,2025-12-26T13:57:54Z,0.194,0.644,0.162,-0.8152,0.9464470148086548,0.04925953969359398,0.004293487872928381,negative,negative,negative
68,UgzNaCs_zp6K54xovPp4AaABAg,@alexxhuss03,"Vol 2 can't match just like V1 !!! DISAPPOINTING.,....",4,2025-12-26T13:55:14Z,0.299,0.701,0.0,-0.4563,0.8887956738471985,0.10051538050174713,0.01068888045847416,negative,negative,negative
69,Ugzo8iLckuGALGHjKdZ4AaABAg,@AgentWuT,I came back here after Byler has officially been DEAD,3,2025-12-26T13:53:33Z,0.386,0.614,0.0,-0.7213,0.5579847097396851,0.41243642568588257,0.02957884781062603,negative,negative,negative
70,UgxNJrd7959_kwLJLIp4AaABAg,@Teen_Scapes,There's nothing about finale - not a single clip 😭😭,2,2025-12-26T13:45:59Z,0.0,1.0,0.0,0.0,0.8988831639289856,0.09207841753959656,0.009038396179676056,neutral,negative,negative
71,Ugz3Vr_GTVW-3T7Wo_54AaABAg,@nari7514,"존나 재밌어요,, 제발 아무도 죽이지마ㅜㅜ😢",3,2025-12-26T13:43:53Z,0.0,1.0,0.0,0.0,0.46216389536857605,0.497059166431427,0.04077694192528725,neutral,neutral,positive
72,UgyzH8hhjvpr52PctWR4AaABAg,@OJ_0709,Millie Bobby Brown is terrible at acting wow 😂,2,2025-12-26T13:41:24Z,0.24,0.465,0.295,0.1779,0.9199413061141968,0.0700196921825409,0.010038996115326881,positive,negative,negative
73,UgxFk609gonKL5nVgCB4AaABAg,@Марк-г1п,11 and 8 gonna die😢,0,2025-12-26T13:38:58Z,0.0,1.0,0.0,0.0,0.8983367085456848,0.08956975489854813,0.012093584053218365,neutral,negative,negative
74,UgyxmuIFDblxYWh2l094AaABAg,@myeshafarzanatahi9154,Hate Kaliiii,4,2025-12-26T13:12:38Z,0.787,0.213,0.0,-0.5719,0.8430505990982056,0.14347103238105774,0.013478411361575127,negative,negative,negative
75,Ugz7g67NEsG42WIfHgR4AaABAg,@engineerbodybuilderan3393,Another 5 days wait for finale is absolutely disgusting,5,2025-12-26T13:12:38Z,0.345,0.655,0.0,-0.5709,0.960521936416626,0.03658647462725639,0.0028916033916175365,negative,negative,negative
76,Ugx_TjPlp1fQfPVHDXp4AaABAg,@nileenabaiju,Volume 2 was such a letdown! Like WTH the duffer brothers hyped it up so much. Noah’s acting and lumax was the only good thing. Will coming out to half of Hawkins🤦🏽‍♀️ what a joke,7,2025-12-26T13:08:26Z,0.103,0.7,0.197,0.4135,0.8290019631385803,0.1404290348291397,0.03056894987821579,positive,negative,negative
77,UgwSSVlMe7CCnHWAPH54AaABAg,@shahilshadh,this trailer is better than entire season.,10,2025-12-26T12:39:30Z,0.0,0.674,0.326,0.4404,0.00490091647952795,0.025169961154460907,0.9699291586875916,positive,positive,positive
78,UgwogELSAXkVYDoEAW94AaABAg,@thebigkrischan,This show should've ended way earlier...,2,2025-12-26T12:37:50Z,0.0,1.0,0.0,0.0,0.8147649168968201,0.1736401468515396,0.0115948636084795,neutral,negative,negative
79,Ugzvijb91_vgo9nOd2N4AaABAg,@thrasherbuffy111,Very underwhelming vol 2.,2,2025-12-26T12:30:25Z,0.0,1.0,0.0,0.0,0.9520707726478577,0.04261830449104309,0.005310934968292713,neutral,negative,negative
80,Ugz2S3rvEq1zyNJhE6J4AaABAg,@prateeksharma3366,Who's here after finishing volume 2?,9,2025-12-26T12:20:38Z,0.0,1.0,0.0,0.0,0.01619948260486126,0.9226508736610413,0.0611497201025486,neutral,neutral,negative
81,UgyRdU05-RcfwDROfON4AaABAg,@ronaldrio7950,00:25 reminds me of Peacemaker,0,2025-12-26T12:17:29Z,0.0,0.571,0.429,0.4588,0.013504031114280224,0.7127599120140076,0.27373602986335754,positive,neutral,positive
82,UgzC3Rr-f97kL3Tgy5B4AaABAg,@Desipopbase,Y'all are over hating Volume 2 btw,8,2025-12-26T12:12:01Z,0.398,0.602,0.0,-0.5106,0.9191899299621582,0.07313668727874756,0.007673383224755526,negative,negative,negative
83,UgwqdFk0bEdEIUwzLUB4AaABAg,@ilikespaghetti4458,Hot take: Vol 2 is flawed but incredibly overhated,8,2025-12-26T12:10:24Z,0.0,1.0,0.0,0.0,0.9357150793075562,0.05955210700631142,0.004732751753181219,neutral,negative,negative
84,UgxGMEZ6JCK8USNDSlp4AaABAg,@erikamontiel2901,Yaay,0,2025-12-26T12:05:00Z,0.0,1.0,0.0,0.0,0.06890405714511871,0.4224760830402374,0.5086198449134827,neutral,positive,positive
85,UgwIvfU6hLLiH9lsrId4AaABAg,@Wikia3033,I checked - all scenes are from Vol 2. No new ones from finale!,4,2025-12-26T12:04:35Z,0.185,0.815,0.0,-0.3595,0.059867363423109055,0.7081758975982666,0.23195675015449524,negative,neutral,negative
86,UgyNp1I8eFpQSzac_Gp4AaABAg,@ShanJheric,the gun shots music,0,2025-12-26T12:02:56Z,0.444,0.556,0.0,-0.34,0.1654636114835739,0.7308773398399353,0.10365912318229675,negative,neutral,negative
87,Ugw9Fyws9vOvYx-NFCd4AaABAg,@thebear4880,Will byers is cringe,2,2025-12-26T11:41:27Z,0.0,1.0,0.0,0.0,0.8703730702400208,0.11770443618297577,0.011922409757971764,neutral,negative,negative
88,UgwtfkxDyLoVKRiHdhh4AaABAg,@hiffhv,"Derek,holly and sadie scenes are interesting 😂😂",1,2025-12-26T11:40:55Z,0.0,0.69,0.31,0.4019,0.006126503925770521,0.08110364526510239,0.9127698540687561,positive,positive,positive
89,UgzEHNydjDDj3nqYptV4AaABAg,@BreakinBlocks,I hate you for making will gay duffer brothers,0,2025-12-26T11:39:28Z,0.346,0.654,0.0,-0.5719,0.976189911365509,0.02117488719522953,0.002635206328704953,negative,negative,negative
90,UgxT87E1ypzL2LcjZtR4AaABAg,@heat_123dr,Who came after watching vol 2,18,2025-12-26T11:34:03Z,0.0,1.0,0.0,0.0,0.0403377003967762,0.8990951180458069,0.06056719273328781,neutral,neutral,negative
91,UgwVIT2nvwCRzyNrBlF4AaABAg,@kittensengaming,Here after watching volume 2,4,2025-12-26T11:26:25Z,0.0,1.0,0.0,0.0,0.0132397236302495,0.8707086443901062,0.11605160683393478,neutral,neutral,positive
92,UgyH5eYRnUjrWKMCV6N4AaABAg,@DiegoJoséRivasPérez,No vi el beso de Will y Mike 😅,0,2025-12-26T11:18:40Z,0.268,0.732,0.0,-0.296,0.07424429804086685,0.7169435024261475,0.20881228148937225,negative,neutral,negative
93,UgzxXD2rtIkrUISwBVR4AaABAg,@lipsy..,Why the hell is there no clue about the finale in this trailer?,2,2025-12-26T11:15:12Z,0.382,0.618,0.0,-0.7783,0.9376415014266968,0.05869342014193535,0.0036649820394814014,negative,negative,negative
